author_name,coauthor_name
Ethan Kaplan,A Ramos
Ori Heffetz,Abram Falk
Peter Lanjouw,Adam Dix
Seth G. Sanders,Adrian Willoughby
Simon Lodato,Adriana Z Robertson
Mike Mueller-Smith,Abdoul G Sam
Kenneth West,ALIREZA TAHBAZâ€SALEHI
Olivier Compte,Abraham Bernstein
Sun Yeneng,Agnes Koschmider
Fei Li,A Rompalo
John Davis,AH Abrahamovich
Thiemo Fetzer,AgnÃ¨s Rico
Jushan Bai,AK Pan
Francesco Zanetti,A Salam
Andrew Rhodes,A Burstein
Qingyuan Du,Adam Przeworski
Ariell Reshef,A Colin Cameron
Hippolyte d'Albis,A YOTOPOULOS
Kyle Woodward,AM Riedl
Hoyt Bleakley,A Yusuf Mercan
Christopher Knittel,A Johns David
Dominik Karos,A Moller Dano
Sheri Markose,Adriana Keating
Joseph Steinberg,AJ Smith
Esther Hauk,A Rajaratnam
Heidi Williams,A Villareal
Xiaodong Zhu,Ajoy Ghosh
Andrea Lanteri,A Binagwaho
Robert Shimer,Adil H Haider
Arnold C. Harberger,A Craig Burnside
Helene Olivier,A Volk
Karsten Hank,AL Hillman
Michael Alexeev,Aart Gerritsen
Arkadi Predtetchinski,A Conroy
Jeremiah Dittmar,AD Heyding
Alex Possajennikov,A B&sch-Supan
James M. Walker,AB Murray
John Moore,AHO van Soest
Michael Greenstone,Abbas Valadkhanic
Massimo Motta,Aan Jaelani
Michal KolesÃ¡r,Abdel Salhi
Frederico Finan,A Schmutzler
James Fenske,AB Deolalikar
Silvana Tenreyro,Adriana Menezes
Alessandro Bucciol,A Ashraf
Nicholas Li,Abhiroop Mukhopadhyay
Paul Raschky,Adam B Jaffe
Gianluca Benigno,A Spelta
Brendan Beare,A Friedman
Nicolas Pistolesi,Abhishek Sen
Sebastian Sotelo,Adrian MÃ¼ller
Zhuan Pei,Akira Okada
Tom McCurdy,Ahmed Tahoun
Kei Kawai,ALBRECHT RITSCHL
Anne Gielen,A Casey
Luca Gambetti,AP van Veen
Donato Masciandaro,A Mushfiq Mubarak
Swati Dhingra,Agnieszka Jach
Slesh A. Shrestha,Adrien Bilal
Tarek Hassan,AgnÃ¨s BÃ©nassy-QuÃ©rÃ©
Filippo Ippolito,A Roy Thurik
Abhinay Muthoo,A ALESINA
Martin Cripps,AV Deardorff
Isabel Schnabel,A-M Marie
Jonathan Gruber,AJ Crawford
Thomas Sampson,Ahmad Bsiesy
Rodrigo Pinto,Aditya Gopalan
Scott McKeon,Adrian JB Wood
Danny Quah,A Leonardson
Klaus Adam,AM Froomkin
Gordon B. Dahl,A Talman
Pinelopi Goldberg,Adam Michel
Ilya Segal,A van Zorn
Liana Jacobi,ANGELA CM DE OLIVEIRA
Ingmar Prucha,A van der Woude
Jeremy Lise,ADAM OSMAN
Benoit Crutzen,A Fantini
Serguey Braguinsky,Adrian Wilkinson
Georgy Artemov,A Sives
Jeffrey Lewis,AC Stockman
William Goetzmann,Aj Hirschberg
Emmanuel Saez,A Peter
Terry Cheng,AgnÃ¨s FestrÃ©
Joel Sobel,AF Shorrocks
Robert M. Townsend,Adi Shany
Subhrendu K. Pattanayak,Agnes Blaye
Matthew Turner,Aaron J Le Compte
Marc Fischer,ARTHUR REYNOLDS
Kurt Lavetti,AM Papag
Alexander Wolitzky,A Banal-EstaÃ±ol
Maria Recalde,AS Kemp
Barton Lipman,A Dixit
Joel Watson,AFD Avila
Alex Teytelboym,A BANERJEE
David Berger,A Ljungqvist
Natalia Ramondo,Abhijit Banerjee
Juan Carlos Suarez Serrato,AK Agarwal
Karthik Muralidharan,AL Jones
Andreas Mueller,A Blaye
Peter Neary,Adam Ennis
David Schindler,A Marcet
Michael Manove,Abbi Kedir
Andrew Chesher,A Bratasz
Siew Ling Yew,Adriana M Valcu
Richard Kneller,Adeel Malik
Guido Menzio,A Titilayo
Mikkel SÃ¸lvsten,Abdul Ghafar Noury
Mita Bhattacharya,Abdul Rehman Khan
Yoram Halevy,Akihiro Nishi
Olivier Marie,Abraham J Wyner
Sophocles Mavroeidis,Adrienne Lucas
Karl Storchmann,AL Ford
Giovanni (Gianluca) Violante,A Stutzer
Dmitriy Sergeyev,A Miriam
Cecilia Testa,A Gritz
Hugo Hopenhayn,A Zabalza
Emel Filiz Ozbay,A Peichl
Andrei Shleifer,A Boltho
Raj Chetty,Adam Sonfield
George Akerlof,A Shliefer
Antonin Mace,A Chessman
Peter Kooreman,Adam DI Kramer
Julien Labonne,AK Maity
Jennifer Smith,ACY Ng
Sule Alan,Agnes C Rola
Paul N. Courant,Adam B Badawi
Konrad Menzel,AM Keessen
Leeat Yariv,ANDREW C PINDER
Drew Fudenberg,A Narayan
Samuel Bazzi,Adriaan van Zon
Gianmarco Ottaviano,A Spoerry
Kaushik Basu,ALBERTO Alesina
Matthias Heinz,Aaron K Chatterji
Dale Squires,A Kluger
Edward Glaeser,A NÃºÃ±ez
Frank Verboven,A Sarris
Maurice Obstfeld,Aaron R Hawkins
Davide Cantoni,A MartÃ­n Zurro
Eric French,A Pooja Shukla
Greg Kaplan,A Tektas
David Guilkey,A Lynch
Facundo Alvaredo,A Rodger
Steffen Huck,Afonso Bevilaqua
Mike Waterson,Abdoul Sam
Jaai Parasnis,AA Seddique
Andrea Prat,A Bish
Robert Gordon,Adi Brender
Chen Chaoran,A Hamoudi
Yongming Hong,Akihiko Matsui
Brian P. McCall,A FÃ¼gener
