author_name,coauthor_name
Liran Einav,ANNA Rubinchik
Florian Ederer,A Rudra1 Dr R Halder
Robert Jensen,Adi Schnytzer
Anna Maria Mayda,A Casarico
Andrea Wilson,A BjÃ¶rklund
Christine Thomas-Agnan,A Ichino
Andrew Schotter,A Burtovoi
Michael Manove,Abbi Kedir
Curtis R. Taylor,A Kleinknecht
Douglas Almond,A N Ghosh
Alberto Abadie,A Aposolides
Ali HortaÃ§su,A Basu
Sebastian Siegloch,Adrian Masters
Nicholas Bloom,Abhilasha Rajan
Rebecca Diamond,Adam09 Przeworkski
Alexander Westkamp,A Baldwin
James J. Heckman,AB Kar
Jonathan Gruber,AJ Crawford
Xiaodong Fan,Ajitava Raychaudhuri
Magne Mogstad,AR Shaghaghi
Kate Antonovics,AL Nagar
Benjamin E. Hermalin,A Ejrnaes
Grey Gordon,A Thorpe
Bertrand Candelon,A Fiat
Matteo Maggiori,Aaron Bodoh-Creed
Guido Kuersteiner,A Timmermann
Jonathan Parker,AJ Miller
Morton Schapiro,Abdulrahman Alarifi
James R. Hines Jr.,AB Skanska
Michael Reiter,Abd Al-Roof Higazi
Hugh Macartney,A YÃºnez-Naude
Kevin Williams,AM Chen
Thibaut Lamadon,AgnÃ¨s Gramain
Mathias Hoffmann,Aandrew M Parker
Ichiro Obara,A van Geen
Sara Heller,Adrian Edwards
Pierre-Olivier Gourinchas,Adam M Rosen
Naomi R. Lamoreaux,Abhijeet Singh
Nancy Chau,Abhi Das
Crocker Liu,A Kipar
Omer Moav,Abraham L Wickelgren
Peter Lanjouw,Adam Dix
Elizabeth Baldwin,A Papga
Jenny Williams,AD Chesher
Timothy Kehoe,Ahmed Ghoniem
Roland Rathelot,Adolfo Carrion
Kalina Manova,AKMM Morshed
Lawrence Ausubel,AN Baldwin
Peter Cziraki,Adam Christopher
Andrew Ching,A Braverman
Gordon B. Dahl,A Talman
Kory Kroft,AM Lins
Oleg Itskhoki,Abigail M Okrent
Robin Lee,Adity Sen
Pere Riera,Adam Bosworth
David Guilkey,A Lynch
James D. Fearon,AB Birtles
Nicola Pavoni,Abhishek Kaul
Piero Gottardi,Adam M Copeland
Lawrence Kahn,AN Rosenthal
Klaus Schmidt,AM Jaime Castillo
Isaac Gross,A-K Achleitner
Steve Puller,Agne Kajackaite
David Lam,A Majumdar
Florian SchÃ¼tt,A Russell Stevenson
Casper Van Ewijk,A Goodall
Dilip Mookherjee,A Melchior
Lars Ljungqvist,AM Stuart
Samuel Kortum,Adriaan van der Weijde
Guido Menzio,A Titilayo
Chris Starmer,A Herbert
Christopher Adam,A James Oâ€™malley
Shaowei Ke,Adrian Ziderman
Stephen J. Redding,Aggey Semenov
Duk Gyoo Kim,A NekroÅ¡ius
Jacopo Perego,AA Tiedeman
Claudio Labanca,A KRUEGER
Giovanni Caggiano,A Subramanian
JosÃ©-VÃ­ctor RÃ­os-Rull,AJJ Talman
Abhimanyu Gupta,A A Rampini
Salvatore Nunnari,Adriaan ten Kate
Armin Falk,A Conze
Philipp Koellinger,Adam Krzyzak
Stefano DellaVigna,Ady Pauzner
Philipp Strack,Adam Lavecchia
Aloysius Siow,A Bedel
Alessandra Casella,A Artuso
Christopher Huckfeldt,A John Maule
Gerard Llobet,A Skyring
John G. Riley,AH Goodall
Xiaxin Wang,Akash Shah
JÃ¶rg Breitung,AK Sinha
Rodney Ludema,Aditya Goenka
Vassilis Hajivassiliou,Aidan B Makwana
Dwayen Benjami,A Nelson
Dirk Veestraeten ,A Millner
Patrick Kline,Ada Ferrerâ€Iâ€Carbonell
Dan Ariely,A Kourtellos
Suresh Naidu,Agnes Quisumbing
Jonathan P Beauchamp,AJ Mahmood
Florian Unger,A SANTIAGO
Andrei A. Levchenko,A Bolte
Fabrizio Zilibotti,A Ritter
Robin Burgess,Aditi Moorthy
Jorg Stoye,AJ Oswald
Benjamin Golub,A Estrada
Marek Pycia,AS Duncan
Jerome Renault,ADRIEN BLANCHET
Ariel Burstein,A Cohen
Amartya Sen,A Benassy-Quere
Mark Armstrong,AS Seitenova
Lorenzo Magnolfi ,ANTOINE dâ€™AUTUME
Stephen Terry,Aghion Philippe
Katherine Abraham,AL Zerkle
Mirko Draca,Abdul Raufu Mustapha
Matias D. Cattaneo,Aaron Berg
Johnny Li,AJ Brown
Zhijun Chen,Akira Goto
Emmanuel Farhi,A Perry
Bettina Rockenbach,A Findlay
Piotr Zwiernik,Adam Nowak
Marc Melitz,ARUN Agrawal
Catherine Kling,A Goto
David Dillenberger,A Lucas
Elena Manresa,A Ortner
Shyama V. Ramani,Adriana Llerasâ€Muney
Melissa Dell,Aaron Sojourner
Katja Maria Kaufmann,ALBERT Marcet
